Date,Mark/Gold
1919-03-17,2.5
1919-03-18,2.5
1919-03-19,2.5
1919-03-20,2.5
1919-03-21,2.5
1919-03-22,2.5
1919-03-23,2.5
1919-03-24,2.5
1919-03-25,2.5
1919-03-26,2.5
1919-03-27,2.5
1919-03-28,2.5
1919-03-29,2.5
1919-03-30,2.5
1919-03-31,2.5
1919-04-01,2.932551319648094
1919-04-02,2.932551319648094
1919-04-03,2.932551319648094
1919-04-04,2.932551319648094
1919-04-05,2.932551319648094
1919-04-06,2.932551319648094
1919-04-07,2.932551319648094
1919-04-08,2.932551319648094
1919-04-09,2.932551319648094
1919-04-10,2.932551319648094
1919-04-11,2.932551319648094
1919-04-12,2.932551319648094
1919-04-13,2.932551319648094
1919-04-14,2.932551319648094
1919-04-15,2.932551319648094
1919-04-16,2.932551319648094
1919-04-17,2.932551319648094
1919-04-18,2.932551319648094
1919-04-19,2.932551319648094
1919-04-20,2.932551319648094
1919-04-21,2.932551319648094
1919-04-22,2.932551319648094
1919-04-23,2.932551319648094
1919-04-24,2.932551319648094
1919-04-25,2.932551319648094
1919-04-26,2.932551319648094
1919-04-27,2.932551319648094
1919-04-28,2.932551319648094
1919-04-29,2.932551319648094
1919-04-30,2.932551319648094
1919-05-01,3.0120481927710845
1919-05-02,3.0120481927710845
1919-05-03,3.0120481927710845
1919-05-04,3.0120481927710845
1919-05-05,3.0120481927710845
1919-05-06,3.0120481927710845
1919-05-07,3.0120481927710845
1919-05-08,3.0120481927710845
1919-05-09,3.0120481927710845
1919-05-10,3.0120481927710845
1919-05-11,3.0120481927710845
1919-05-12,3.0120481927710845
1919-05-13,3.0120481927710845
1919-05-14,3.0120481927710845
1919-05-15,3.0120481927710845
1919-05-16,3.0120481927710845
1919-05-17,3.0120481927710845
1919-05-18,3.0120481927710845
1919-05-19,3.0120481927710845
1919-05-20,3.0120481927710845
1919-05-21,3.0120481927710845
1919-05-22,3.0120481927710845
1919-05-23,3.0120481927710845
1919-05-24,3.0120481927710845
1919-05-25,3.0120481927710845
1919-05-26,3.0120481927710845
1919-05-27,3.0120481927710845
1919-05-28,3.0120481927710845
1919-05-29,3.0120481927710845
1919-05-30,3.0120481927710845
1919-05-31,3.0120481927710845
1919-06-01,3.2154340836012865
1919-06-02,3.2154340836012865
1919-06-03,3.2154340836012865
1919-06-04,3.2154340836012865
1919-06-05,3.2154340836012865
1919-06-06,3.2154340836012865
1919-06-07,3.2154340836012865
1919-06-08,3.2154340836012865
1919-06-09,3.2154340836012865
1919-06-10,3.2154340836012865
1919-06-11,3.2154340836012865
1919-06-12,3.2154340836012865
